School Name,Quality Score,Letter Grade,ZIP Code,Academic Score,Resources Score,Equity Score,Outcomes Score,Strengths,Areas for Improvement
HANK AARON NEW BEGINNINGS ACADEMY,17.1,F,30315,20.0,28.999999999999996,9.0,0.0,"Academic, Resources","Equity, Outcomes"
HAPEVILLE ELEMENTARY SCHOOL,23.4,D,30354,25.0,14.000000000000002,19.0,38.0,"Academic, Outcomes","Resources, Equity"
HARPER-ARCHER ELEMENTARY SCHOOL,24.7,D,30331,24.0,18.0,24.0,38.0,"Academic, Equity, Outcomes",Resources
HAWTHORNE ELEMENTARY SCHOOL,20.9,F,30345,23.0,13.0,12.0,38.0,"Academic, Outcomes","Resources, Equity"
HEARDS FERRY ELEMENTARY SCHOOL,25.7,D,30339,28.000000000000004,11.0,3.0,75.0,"Academic, Outcomes","Resources, Equity"
HENDERSON MILL ELEMENTARY SCHOOL,22.1,D,30345,23.0,11.0,20.0,38.0,"Academic, Outcomes","Resources, Equity"
HERITAGE ACADEMY ELEMENTARY SCHOOL,20.9,F,30354,22.0,17.0,18.0,25.0,"Academic, Outcomes","Resources, Equity"
HERMAN J. RUSSELL WEST END ACADEMY,22.9,D,30310,27.0,19.0,16.0,25.0,"Academic, Outcomes","Resources, Equity"
HIGH POINT ELEMENTARY SCHOOL,25.5,D,30342,26.0,12.0,22.0,50.0,"Academic, Outcomes","Resources, Equity"
HILLSIDE CONANT SCHOOL,18.1,F,30306,22.0,14.000000000000002,1.0,38.0,"Academic, Outcomes","Resources, Equity"
INTERNATIONAL COMMUNITY SCHOOL,26.8,C,30033,24.0,13.0,22.0,62.0,"Academic, Outcomes","Resources, Equity"
IVY PREPARATORY ACADEMY- INC,21.6,D,30317,23.0,15.0,14.000000000000002,38.0,"Academic, Outcomes","Resources, Equity"
JACKSON ELEMENTARY SCHOOL,25.1,D,30327,27.0,16.0,5.0,62.0,"Academic, Outcomes","Resources, Equity"
JEAN CHILDS YOUNG MIDDLE SCHOOL,26.6,C,30311,33.0,21.0,27.0,12.0,"Academic, Equity","Resources, Outcomes"
JOHN LEWIS INVICTUS ACADEMY,28.4,C,30318,35.0,19.0,34.0,12.0,"Academic, Equity","Resources, Outcomes"
JOHN ROBERT LEWIS ELEMENTARY SCHOOL,25.9,D,30319,27.0,14.000000000000002,28.000000000000004,38.0,"Equity, Outcomes","Academic, Resources"
JOHN WESLEY DOBBS ELEMENTARY SCHOOL,20.8,F,30315,22.0,23.0,13.0,25.0,"Resources, Outcomes","Academic, Equity"
JOSEPH HUMPHRIES ELEMENTARY SCHOOL,19.4,F,30315,21.0,20.0,11.0,25.0,"Academic, Outcomes","Resources, Equity"
JUDSON PRICE MIDDLE SCHOOL,22.7,D,30315,24.0,30.0,12.0,25.0,"Resources, Outcomes","Academic, Equity"
KELLEY LAKE ELEMENTARY SCHOOL,22.2,D,30032,23.0,14.000000000000002,10.0,50.0,"Academic, Outcomes","Resources, Equity"
KINDEZI OLD 4TH WARD,24.1,D,30308,22.0,41.0,12.0,25.0,"Resources, Outcomes","Academic, Equity"
KIPP ATLANTA COLLEGIATE CHARTER SCHOOL,23.7,D,30314,21.0,38.0,24.0,12.0,"Resources, Equity","Academic, Outcomes"
KIPP SOUL ACADEMY,23.1,D,30331,25.0,19.0,13.0,38.0,"Academic, Outcomes","Resources, Equity"
